domain,question_id,signalling_question,answer,supporting_text,domain_judgement,overall_judgement
Protocol registration,Was,this domain adequately addressed by the study's design and conduct? (domain: Protocol registration),,,,
Protocol registration,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Protocol registration),,,,
Protocol registration,Is,the reporting on this domain transparent and free of important gaps? (domain: Protocol registration),,,,
Search adequacy,Was,this domain adequately addressed by the study's design and conduct? (domain: Search adequacy),,,,
Search adequacy,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Search adequacy),,,,
Search adequacy,Is,the reporting on this domain transparent and free of important gaps? (domain: Search adequacy),,,,
Risk-of-bias methods,Was,this domain adequately addressed by the study's design and conduct? (domain: Risk-of-bias methods),,,,
Risk-of-bias methods,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Risk-of-bias methods),,,,
Risk-of-bias methods,Is,the reporting on this domain transparent and free of important gaps? (domain: Risk-of-bias methods),,,,
Meta-analysis methods,Was,this domain adequately addressed by the study's design and conduct? (domain: Meta-analysis methods),,,,
Meta-analysis methods,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Meta-analysis methods),,,,
Meta-analysis methods,Is,the reporting on this domain transparent and free of important gaps? (domain: Meta-analysis methods),,,,
Publication bias,Was,this domain adequately addressed by the study's design and conduct? (domain: Publication bias),,,,
Publication bias,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Publication bias),,,,
Publication bias,Is,the reporting on this domain transparent and free of important gaps? (domain: Publication bias),,,,
