domain,question_id,signalling_question,answer,supporting_text,domain_judgement,overall_judgement
Confounding,1.1,Is there potential for confounding of the effect of intervention in this study?,,,,
Confounding,1.4,Did the authors use an appropriate analysis method that controlled for all the important confounding domains?,,,,
Confounding,1.6,Did the authors control for any post-intervention variables that could have been affected by the intervention?,,,,
Selection of participants,2.1,Was selection into the study unrelated to intervention or to the outcome?,,,,
Selection of participants,2.2,Do start of follow-up and start of intervention coincide for most participants?,,,,
Selection of participants,2.4,Were adjustment techniques used that are likely to correct for the presence of selection biases?,,,,
Classification of interventions,3.1,Were intervention groups clearly defined?,,,,
Classification of interventions,3.2,Was the information used to define intervention groups recorded at the start of the intervention?,,,,
Classification of interventions,3.3,Could classification of intervention status have been affected by knowledge of the outcome or risk of the outcome?,,,,
Deviations from intended interventions,4.1,Were there deviations from the intended intervention beyond what would be expected in usual practice?,,,,
Deviations from intended interventions,4.2,Were these deviations unbalanced between groups and likely to have affected the outcome?,,,,
Missing data,5.1,"Were outcome data available for all, or nearly all, participants?",,,,
Missing data,5.2,Were participants excluded due to missing data on intervention status?,,,,
Missing data,5.3,Were participants excluded due to missing data on other variables needed for the analysis?,,,,
Measurement of outcomes,6.1,Could the outcome measure have been influenced by knowledge of the intervention received?,,,,
Measurement of outcomes,6.2,Were outcome assessors aware of the intervention received by study participants?,,,,
Measurement of outcomes,6.3,Were the methods of outcome assessment comparable across intervention groups?,,,,
Selection of the reported result,7.1,"Is the reported effect estimate likely to be selected, on the basis of the results, from multiple outcome measurements within the outcome domain?",,,,
Selection of the reported result,7.2,... from multiple analyses of the intervention-outcome relationship?,,,,
Selection of the reported result,7.3,... from different subgroups?,,,,
