domain,question_id,signalling_question,answer,supporting_text,domain_judgement,overall_judgement
Randomization process,1.1,Was the allocation sequence random?,,,,
Randomization process,1.2,Was the allocation sequence concealed until participants were enrolled and assigned to interventions?,,,,
Randomization process,1.3,Did baseline differences between intervention groups suggest a problem with the randomization process?,,,,
Deviations from intended interventions,2.1,Were participants aware of their assigned intervention during the trial?,,,,
Deviations from intended interventions,2.2,Were carers and people delivering the interventions aware of participants' assigned intervention during the trial?,,,,
Deviations from intended interventions,2.3,If yes/PY/NI to 2.1 or 2.2: were there deviations from the intended intervention that arose because of the trial context?,,,,
Deviations from intended interventions,2.4,If yes/PY/NI to 2.3: were these deviations likely to have affected the outcome?,,,,
Deviations from intended interventions,2.5,If yes/PY/NI to 2.4: were these deviations from intended intervention balanced between groups?,,,,
Deviations from intended interventions,2.6,Was an appropriate analysis used to estimate the effect of assignment to intervention?,,,,
Deviations from intended interventions,2.7,If no/PN/NI to 2.6: was there potential for a substantial impact (on the result) of the failure to analyse participants in the group to which they were randomized?,,,,
Missing outcome data,3.1,"Were data for this outcome available for all, or nearly all, participants randomized?",,,,
Missing outcome data,3.2,If no/PN/NI to 3.1: is there evidence that the result was not biased by missing outcome data?,,,,
Missing outcome data,3.3,If no/PN to 3.2: could missingness in the outcome depend on its true value?,,,,
Missing outcome data,3.4,If yes/PY/NI to 3.3: is it likely that missingness in the outcome depended on its true value?,,,,
Measurement of the outcome,4.1,Was the method of measuring the outcome inappropriate?,,,,
Measurement of the outcome,4.2,Could measurement or ascertainment of the outcome have differed between intervention groups?,,,,
Measurement of the outcome,4.3,If no/PN/NI to 4.1 and 4.2: were outcome assessors aware of the intervention received by study participants?,,,,
Measurement of the outcome,4.4,If yes/PY/NI to 4.3: could assessment of the outcome have been influenced by knowledge of the intervention received?,,,,
Measurement of the outcome,4.5,If yes/PY/NI to 4.4: is it likely that assessment of the outcome was influenced by knowledge of the intervention received?,,,,
Selection of the reported result,5.1,Were the data that produced this result analysed in accordance with a pre-specified analysis plan finalized before unblinded outcome data were available?,,,,
Selection of the reported result,5.2,"Is the numerical result being assessed likely to have been selected, on the basis of the results, from multiple eligible outcome measurements within the outcome domain?",,,,
Selection of the reported result,5.3,"Is the numerical result being assessed likely to have been selected, on the basis of the results, from multiple eligible analyses of the data?",,,,
