domain,question_id,signalling_question,answer,supporting_text,domain_judgement,overall_judgement
Inclusion criteria,Was,this domain adequately addressed by the study's design and conduct? (domain: Inclusion criteria),,,,
Inclusion criteria,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Inclusion criteria),,,,
Inclusion criteria,Is,the reporting on this domain transparent and free of important gaps? (domain: Inclusion criteria),,,,
Exposure measurement,Was,this domain adequately addressed by the study's design and conduct? (domain: Exposure measurement),,,,
Exposure measurement,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Exposure measurement),,,,
Exposure measurement,Is,the reporting on this domain transparent and free of important gaps? (domain: Exposure measurement),,,,
Confounding,Was,this domain adequately addressed by the study's design and conduct? (domain: Confounding),,,,
Confounding,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Confounding),,,,
Confounding,Is,the reporting on this domain transparent and free of important gaps? (domain: Confounding),,,,
Outcome measurement,Was,this domain adequately addressed by the study's design and conduct? (domain: Outcome measurement),,,,
Outcome measurement,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Outcome measurement),,,,
Outcome measurement,Is,the reporting on this domain transparent and free of important gaps? (domain: Outcome measurement),,,,
Statistical analysis,Was,this domain adequately addressed by the study's design and conduct? (domain: Statistical analysis),,,,
Statistical analysis,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Statistical analysis),,,,
Statistical analysis,Is,the reporting on this domain transparent and free of important gaps? (domain: Statistical analysis),,,,
