domain,question_id,signalling_question,answer,supporting_text,domain_judgement,overall_judgement
Participants,Was,this domain adequately addressed by the study's design and conduct? (domain: Participants),,,,
Participants,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Participants),,,,
Participants,Is,the reporting on this domain transparent and free of important gaps? (domain: Participants),,,,
Predictors,Was,this domain adequately addressed by the study's design and conduct? (domain: Predictors),,,,
Predictors,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Predictors),,,,
Predictors,Is,the reporting on this domain transparent and free of important gaps? (domain: Predictors),,,,
Outcome,Was,this domain adequately addressed by the study's design and conduct? (domain: Outcome),,,,
Outcome,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Outcome),,,,
Outcome,Is,the reporting on this domain transparent and free of important gaps? (domain: Outcome),,,,
Analysis,Was,this domain adequately addressed by the study's design and conduct? (domain: Analysis),,,,
Analysis,Is,there evidence that this domain was handled in a way that protects against bias? (domain: Analysis),,,,
Analysis,Is,the reporting on this domain transparent and free of important gaps? (domain: Analysis),,,,
