domain,question_id,signalling_question,answer,supporting_text,domain_judgement,overall_judgement
Confounding,1.1,Is there potential for confounding of the effect of exposure?,,,,
Confounding,1.2,Did the analysis appropriately control the important confounders?,,,,
Measurement of the exposure,2.1,"Was exposure characterised using validated, reliable methods?",,,,
Measurement of the exposure,2.2,"Could exposure measurement have been affected by knowledge of, or presence of, the outcome (differential misclassification)?",,,,
Selection of participants,3.1,Was selection into the study unrelated to exposure and outcome?,,,,
Selection of participants,3.2,Did start of follow-up and start of exposure coincide?,,,,
Post-exposure interventions,4.1,Were post-exposure interventions that affect the outcome balanced across exposure groups?,,,,
Missing data,5.1,Were outcome and exposure data available for nearly all participants?,,,,
Missing data,5.2,Is there evidence the result was not biased by missing data?,,,,
Measurement of the outcome,6.1,Could the outcome measure have been influenced by knowledge of exposure status?,,,,
Measurement of the outcome,6.2,Were outcome ascertainment methods comparable across exposure groups?,,,,
Selection of the reported result,7.1,Was the result reported in accordance with a pre-specified analysis plan?,,,,
Selection of the reported result,7.2,Is the reported result likely selected from multiple measurements or analyses on the basis of the results?,,,,
